doc_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
39,0.09317713104936656,2.6260504951843816e-05,0.13839796570597937,2.6260504668518803e-05,2.626050482166515e-05,0.020443703545468338,2.62605045178865e-05,2.6260504545085154e-05,2.6260504560398422e-05,2.6260504712063093e-05,0.0132027494398562,2.6260504713952566e-05,0.0586419424930089,2.626050484097904e-05,2.6260504769862762e-05,0.04301705657017744,2.6260504619660852e-05,2.6260505315416907e-05,2.626050467470642e-05,0.6327780646344312
40,0.007103127945396974,2.185314722343335e-05,2.1853147267229636e-05,2.1853147327686816e-05,2.185314729709056e-05,2.1853147219667347e-05,0.03081693960047201,2.1853147251578744e-05,2.1853147323443977e-05,0.6430455625933534,2.1853147389975132e-05,2.185314723604609e-05,2.1853147189053537e-05,2.1853147305425618e-05,2.185314736085396e-05,2.185314739898415e-05,2.1853147319600135e-05,2.185314738027804e-05,0.31868471950407656,2.185314721077647e-05
41,0.05015430614845183,3.026634464027781e-05,0.21778317498806973,3.026634434140542e-05,0.07922190243913572,3.0266344669077318e-05,3.0266344548797558e-05,3.0266344447613757e-05,3.0266344550443912e-05,3.0266344391851247e-05,3.0266344473490966e-05,3.0266344536862288e-05,0.07744766821493225,3.026634460152668e-05,0.05474591907787361,0.21212305153412364,3.0266344683466432e-05,3.0266344479594882e-05,3.026634448580539e-05,0.30813051511856315
42,4.8216008512486594e-05,0.012529011493886046,0.061101102558351494,0.0006111876308819783,0.20023706254639284,4.821600870582937e-05,4.8216008630441434e-05,4.8216008664219035e-05,0.055690739579836813,0.28232382608232803,0.06906311330649972,4.821600850071264e-05,0.15967810997374232,4.8216008715308945e-05,0.07493524892956384,4.821600883416712e-05,4.821600866941569e-05,4.8216009119198046e-05,0.08334843781113073,4.821600903438058e-05
43,5.1440330424450315e-05,5.1440330576488094e-05,0.2755051218838704,0.13848748413774142,5.14403303871542e-05,5.144033038625708e-05,0.05608056162737136,5.14403298491514e-05,0.04699441164348874,0.07404948028034405,5.1440330415011793e-05,5.144033038034026e-05,0.02923139883689151,0.11573577267980839,0.2632984849460844,5.144033071231887e-05,5.144033029416999e-05,5.1440330299146685e-05,5.1440330494388505e-05,5.1440330180844785e-05
44,2.9922203088849603e-05,0.013869985414865876,2.9922202964106936e-05,2.9922203029345207e-05,0.04248839237261742,2.992220307807555e-05,0.0352573141942414,2.9922202812809067e-05,2.9922202966664274e-05,0.08295844739656923,2.9922202652092124e-05,0.07910980442719605,2.9922203022390236e-05,2.992220298176939e-05,2.992220290316758e-05,0.09623239116929203,2.9922202995322885e-05,2.992220287652181e-05,0.6496946763868715,2.9922202975409435e-05
45,0.026800527585570035,2.4224806889556246e-05,2.4224806717312035e-05,0.021262355591860342,0.042181905277467936,2.4224806741490347e-05,2.4224806787649187e-05,2.4224807021524233e-05,2.4224806635463953e-05,0.783210112426391,2.422480658661827e-05,2.4224806706066707e-05,2.4224806755574648e-05,2.4224806834274726e-05,0.025838456593773453,0.0032232039523643016,2.42248067104178e-05,0.05665493357737325,0.04053780731405642,2.4224806757241792e-05
46,1.5365704056843404e-05,1.536570406346079e-05,1.5365704016881572e-05,1.5365704077932217e-05,1.5365704039816205e-05,1.536570397853698e-05,1.536570410478471e-05,1.5365703957392473e-05,1.536570408632616e-05,1.5365704114247223e-05,1.536570401963038e-05,1.5365704160908008e-05,1.536570402530651e-05,1.5365704107938942e-05,1.536570402889602e-05,0.7443893088553077,1.5365704063874482e-05,1.536570408577696e-05,0.2553341084716101,1.5365704093567927e-05
47,0.11501716064853877,4.032258170096028e-05,4.0322581461044784e-05,4.032258165826589e-05,4.032258134827477e-05,4.0322581549917934e-05,0.7039298413673092,4.032258141063028e-05,4.032258178827333e-05,4.03225813938709e-05,4.0322581679828515e-05,4.0322581224362155e-05,4.032258143971008e-05,4.03225814626518e-05,0.03137336431636697,0.015946856308656044,4.032258177241424e-05,4.0322581593028746e-05,4.032258140974377e-05,0.13312793863623598
48,1.5220700442397216e-05,0.1540825289906484,1.5220700544218953e-05,0.3307232414785645,1.522070052909564e-05,1.5220700481339852e-05,0.029837853070728802,1.5220700404531184e-05,1.5220700423926546e-05,0.010637010059941741,0.027657676818503497,0.03459616321477956,0.36089454702998414,1.5220700451381902e-05,0.05138833093115059,1.5220700490860772e-05,1.522070046273969e-05,1.522070048141363e-05,1.5220700496289775e-05,1.522070049054999e-05
